Fighter,KD,Sig.str.landed,Sig.str.attempted,Sig.str.%,Totalstr.landed,Totalstr.attempted,Td.landed,Td.attempted,Td%,Sub.att,Rev.,Ctrl
Robert Whittaker,1.0,14,21,66,14,21,0,0,      ---    ,0.0,0.0,3
Ikram Aliskerov,0.0,5,15,33,5,15,0,0,      ---    ,0.0,0.0,0
Robert Whittaker,0.0,95,175,54,95,175,0,1,0,0.0,0.0,0
Paulo Costa,0.0,67,151,44,67,151,0,0,      ---    ,0.0,0.0,0
Robert Whittaker,0.0,31,70,44,32,71,1,1,100,0.0,0.0,23
Dricus Du Plessis,1.0,62,104,59,74,118,1,1,100,0.0,0.0,57
Robert Whittaker,0.0,74,166,44,74,166,1,1,100,0.0,0.0,12
Marvin Vettori,0.0,33,116,28,38,121,0,1,0,0.0,0.0,28
Israel Adesanya,1.0,79,169,46,98,188,0,0,      ---    ,0.0,0.0,0
Robert Whittaker,0.0,59,136,43,74,151,4,10,40,0.0,0.0,220
Robert Whittaker,0.0,150,284,52,169,303,4,7,57,0.0,0.0,259
Kelvin Gastelum,0.0,62,209,29,70,218,1,5,20,0.0,0.0,26
Robert Whittaker,1.0,69,151,45,75,158,0,2,0,0.0,0.0,130
Jared Cannonier,0.0,53,89,59,58,94,0,0,      ---    ,0.0,0.0,30
Robert Whittaker,1.0,69,157,43,100,188,2,13,15,0.0,0.0,149
Darren Till,0.0,41,99,41,50,108,0,0,      ---    ,0.0,0.0,35
Robert Whittaker,0.0,32,116,27,32,116,0,0,      ---    ,0.0,0.0,0
Israel Adesanya,2.0,40,95,42,40,95,0,0,      ---    ,0.0,0.0,4
Robert Whittaker,0.0,128,326,39,129,328,0,1,0,0.0,0.0,37
Yoel Romero,2.0,111,240,46,149,287,3,10,30,0.0,0.0,261
Yoel Romero,0.0,48,107,44,114,175,4,18,22,0.0,0.0,315
Robert Whittaker,0.0,74,221,33,94,244,0,0,      ---    ,0.0,0.0,94
Jacare Souza,0.0,9,36,25,13,40,1,3,33,0.0,0.0,49
Robert Whittaker,1.0,55,110,50,57,112,0,0,      ---    ,0.0,0.0,25
Robert Whittaker,1.0,33,58,56,35,60,0,0,      ---    ,0.0,0.0,7
Derek Brunson,0.0,19,42,45,25,48,0,3,0,0.0,0.0,72
Robert Whittaker,0.0,89,176,50,92,179,0,0,      ---    ,0.0,0.0,2
Rafael Natal,0.0,62,137,45,63,138,0,4,0,0.0,0.0,0
Uriah Hall,0.0,45,94,47,58,107,0,1,0,0.0,1.0,50
Robert Whittaker,0.0,67,144,46,108,186,1,2,50,0.0,0.0,283
Brad Tavares,0.0,2,7,28,2,7,0,0,      ---    ,0.0,0.0,0
Robert Whittaker,1.0,10,14,71,10,14,0,0,      ---    ,0.0,0.0,4
Robert Whittaker,2.0,49,104,47,54,110,1,2,50,0.0,0.0,138
Clint Hester,0.0,28,61,45,29,62,0,3,0,0.0,1.0,46
Robert Whittaker,0.0,66,183,36,93,213,1,1,100,0.0,0.0,142
Mike Rhodes,0.0,47,146,32,52,153,0,2,0,0.0,0.0,37
Robert Whittaker,0.0,19,66,28,19,66,0,0,      ---    ,0.0,0.0,0
Stephen Thompson,1.0,38,80,47,39,81,0,0,      ---    ,0.0,0.0,7
Court McGee,0.0,88,305,28,99,318,1,8,12,0.0,0.0,34
Robert Whittaker,0.0,48,184,26,49,185,0,0,      ---    ,0.0,0.0,0
Colton Smith,1.0,33,91,36,33,91,0,6,0,1.0,0.0,3
Robert Whittaker,2.0,53,113,46,54,114,1,1,100,0.0,0.0,14
Robert Whittaker,1.0,83,202,41,89,208,0,0,      ---    ,0.0,0.0,22
Brad Scott,0.0,55,171,32,82,205,1,5,20,0.0,0.0,255
